date,UNRATE,CPIAUCSL,FEDFUNDS,NASDAQCOM,RGDP,CRNT_ACCT,HOUSING,LABOR_FRC,MINIMUM_WAGE,YOUTH_UNEM
2016-09-30,5.0,241.068,0.40,5312.00,54918.0,-98931,1072.0,159817,7.25,10.3179998397827
2016-10-31,4.9,241.641,0.40,5189.13,55165.0,-93705,1321.0,159734,7.25,10.3179998397827
2016-11-30,4.7,241.993,0.41,5323.68,55165.0,-93705,1150.0,159551,7.25,10.3179998397827
2016-12-31,4.7,242.712,0.54,5383.12,55165.0,-93705,1267.0,159710,7.25,10.3179998397827
2017-01-31,4.7,243.717,0.65,5614.79,55401.0,-83894,1206.0,159647,7.25,9.13700008392334
2017-02-28,4.6,244.028,0.66,5825.44,55401.0,-83894,1282.0,159767,7.25,9.13700008392334
2017-03-31,4.4,243.721,0.79,5911.74,55401.0,-83894,1186.0,160066,7.25,9.13700008392334
2017-04-30,4.4,244.058,0.90,6047.61,55560.0,-102359,1150.0,160309,7.25,9.13700008392334
2017-05-31,4.4,243.926,0.91,6198.52,55560.0,-102359,1123.0,160060,7.25,9.13700008392334
2017-06-30,4.3,244.179,1.04,6140.42,55560.0,-102359,1243.0,160232,7.25,9.13700008392334
2017-07-31,4.3,244.328,1.15,6348.12,55874.0,-86234,1207.0,160339,7.25,9.13700008392334
2017-08-31,4.4,245.304,1.16,6428.66,55874.0,-86234,1163.0,160690,7.25,9.13700008392334
2017-09-30,4.2,246.445,1.15,6495.96,55874.0,-86234,1174.0,161212,7.25,9.13700008392334
2017-10-31,4.1,246.570,1.15,6727.67,56324.0,-92782,1256.0,160378,7.25,9.13700008392334
2017-11-30,4.2,247.333,1.16,6873.97,56324.0,-92782,1300.0,160510,7.25,9.13700008392334
2017-12-31,4.1,247.847,1.30,6903.39,56324.0,-92782,1199.0,160538,7.25,9.13700008392334
2018-01-31,4.1,248.816,1.41,7411.48,56785.0,-96587,1314.0,161068,7.25,8.51700019836426
2018-02-28,4.1,249.475,1.42,7273.01,56785.0,-96587,1288.0,161783,7.25,8.51700019836426
2018-03-31,4.0,249.413,1.51,.,56785.0,-96587,1335.0,161684,7.25,8.51700019836426
2018-04-30,4.0,249.957,1.69,7066.266,57099.0,-95414,1269.0,161742,7.25,8.51700019836426
2018-05-31,3.8,250.640,1.70,7442.117,57099.0,-95414,1334.0,161874,7.25,8.51700019836426
2018-06-30,4.0,251.176,1.82,7510.305,57099.0,-95414,1190.0,162269,7.25,8.51700019836426
2018-07-31,3.8,251.482,1.91,7671.789,57317.0,-125241,1195.0,162173,7.25,8.51700019836426
2018-08-31,3.8,251.905,1.91,8109.535,57317.0,-125241,1280.0,161768,7.25,8.51700019836426
2018-09-30,3.7,252.261,1.95,8046.352,57317.0,-125241,1246.0,162078,7.25,8.51700019836426
2018-10-31,3.8,252.777,2.19,7305.898,57429.0,-132452,1207.0,162605,7.25,8.51700019836426
2018-11-30,3.7,252.662,2.20,7330.535,57429.0,-132452,1204.0,162662,7.25,8.51700019836426
2018-12-31,3.9,252.653,2.27,6635.277,57429.0,-132452,1117.0,163111,7.25,8.51700019836426
